EXPEDIENTE,NRO_EXPEDIENTE,AÑO_EXPEDIENTE,DESCRIPCION_VARIABLE,DESCRIPCION_VARIABLE_DESTINO,ACTO_PROCESAL,FECHA_REGISTRO,PROCESO,MATERIA,SUB ESPECIALIDAD,MES,JUZGADO
00294-2026-0-2301-JR-LA-02,294,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,17/03/2026 13:10,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00327-2026-0-2301-JR-LA-02,327,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,25/03/2026 15:40,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00462-2026-0-2301-JR-LA-02,462,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,31/03/2026 10:56,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00419-2026-0-2301-JR-LA-02,419,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,25/03/2026 15:40,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
01750-2025-0-2301-JR-LA-02,1750,2025,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,CONTINUA EN TRAMITE (1RA INSTANCIA) (INV.202501),01/12/2025 23:36,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00257-2026-0-2301-JR-LA-02,257,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,17/03/2026 13:11,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00289-2026-0-2301-JR-LA-03,289,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,24/03/2026 08:52,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00428-2026-0-2301-JR-LA-02,428,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,25/03/2026 11:03,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,4,2do Juzgado de Trabajo
00404-2026-0-2301-JR-LA-02,404,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,31/03/2026 10:56,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00188-2026-0-2301-JR-LA-02,188,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,13/03/2026 12:34,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00261-2026-0-2301-JR-LA-02,261,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,25/03/2026 15:40,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00476-2024-0-2301-JR-LA-03,476,2024,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,RECEPCION  DE SENTENCIA DE VISTA QUE ANULA A TRAMITE,19/01/2026 14:58,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00307-2026-0-2301-JR-LA-02,307,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,31/03/2026 11:27,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00354-2026-0-2301-JR-LA-02,354,2026,PENDIENTE EN TRÁMITE,TOTAL PENDIENTES AL MES ANTERIOR,AUTO ADMISORIO,10/03/2026 12:44,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
