x_formato,n_num_exp,n_anio_exp,var_des,var_des_det,x_desc_acto_procesal,f_registro,x_proceso,x_materia,Columna1,l_tipo_juzgado_exp,Columna2
00336-2026-0-2301-JR-LA-02,336,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,30/04/2026 12:12,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00273-2026-0-2301-JR-LA-02,273,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,17/04/2026 16:46,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
01622-2025-0-2301-JR-LA-02,1622,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,30/04/2026 12:32,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00239-2026-0-2301-JR-LA-02,239,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,28/04/2026 13:13,URGENTE,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00342-2026-0-2301-JR-LA-02,342,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:02,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00361-2026-0-2301-JR-LA-02,361,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 15:26,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Contencioso Administrativo,4,2do Juzgado de Trabajo
01864-2025-0-2301-JR-LA-01,1864,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,21/04/2026 08:06,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00243-2026-0-2301-JR-LA-02,243,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,28/04/2026 13:15,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00692-2024-0-2301-JR-LA-02,692,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,16/04/2026 08:13,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00574-2024-0-2301-JR-LA-02,574,2024,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,30/04/2026 16:22,ORDINARIO,DECLARACIÓN DE INEFICACIA DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,2do Juzgado de Trabajo
00366-2026-0-2301-JR-LA-02,366,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,17/04/2026 16:44,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,2do Juzgado de Trabajo
00489-2026-0-2301-JR-LA-02,489,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 17:01,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
00116-2026-0-2301-JR-LA-01,116,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 16:58,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,2do Juzgado de Trabajo
