x_formato,n_num_exp,n_anio_exp,var_des,var_des_det,x_desc_acto_procesal,f_registro,x_proceso,x_materia,Columna1,l_tipo_juzgado_exp,Columna2
01517-2025-0-2301-JR-LA-04,1517,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,16/04/2026 16:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00453-2026-0-2301-JR-LA-03,453,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 16:44,URGENTE,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00027-2026-0-2301-JR-LA-04,27,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,17/04/2026 15:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01845-2025-0-2301-JR-LA-04,1845,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,22/04/2026 16:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01823-2025-0-2301-JR-LA-04,1823,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,21/04/2026 17:04,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00415-2026-0-2301-JR-LA-04,415,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,29/04/2026 16:46,URGENTE,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00224-2026-0-2301-JR-LA-04,224,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,22/04/2026 16:45,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01661-2025-0-2301-JR-LA-04,1661,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,20/04/2026 16:44,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00437-2026-0-2301-JR-LA-04,437,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 13:06,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00429-2026-0-2301-JR-LA-04,429,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,30/04/2026 12:39,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00052-2026-0-2301-JR-LA-04,52,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA IMPROCEDENTE,23/04/2026 16:53,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00200-2026-0-2301-JR-LA-04,200,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,21/04/2026 16:47,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01581-2025-0-2301-JR-LA-04,1581,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,17/04/2026 15:51,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00003-2026-0-2301-JR-LA-04,3,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,30/04/2026 13:07,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00081-2026-0-2301-JR-LA-04,81,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,28/04/2026 17:17,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00528-2026-0-2301-JR-LA-04,528,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,28/04/2026 17:16,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00488-2026-0-2301-JR-LA-04,488,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,28/04/2026 17:12,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01692-2025-0-2301-JR-LA-04,1692,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,16/04/2026 16:52,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01513-2025-0-2301-JR-LA-04,1513,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA INFUNDADA,10/04/2026 16:40,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00234-2026-0-2301-JR-LA-04,234,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,28/04/2026 15:21,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00222-2026-0-2301-JR-LA-04,222,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,22/04/2026 16:45,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00274-2026-0-2301-JR-LA-04,274,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 09:13,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
01871-2025-0-2301-JR-LA-04,1871,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,21/04/2026 16:46,ORDINARIO,RECONOCIMIENTO DEL DERECHO TUTELADO,Contencioso Administrativo,4,4to Juzgado de Trabajo
00272-2026-0-2301-JR-LA-04,272,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,22/04/2026 16:45,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR ACTO ADMINISTRATIVO,Contencioso Administrativo,4,4to Juzgado de Trabajo
01600-2025-0-2301-JR-LA-04,1600,2025,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA EN PARTE,16/04/2026 16:51,ORDINARIO,DECLARACIÓN DE NULIDAD DE ACTOS ADMINISTRATIVOS,Contencioso Administrativo,4,4to Juzgado de Trabajo
00405-2026-0-2301-JR-LA-04,405,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,21/04/2026 16:52,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00490-2026-0-2301-JR-LA-04,490,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/04/2026 09:45,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00262-2026-0-2301-JR-LA-04,262,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 09:14,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00465-2026-0-2301-JR-LA-04,465,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,29/04/2026 09:45,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00427-2026-0-2301-JR-LA-04,427,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,23/04/2026 12:41,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00433-2026-0-2301-JR-LA-04,433,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,24/04/2026 09:14,ORDINARIO,RESTABLECIMIENTO DEL DERECHO TUTELADO,Previsional,4,4to Juzgado de Trabajo
00313-2026-0-2301-JR-LA-04,313,2026,SENTENCIAS,TOTAL RESOLUCIONES FINALES EN 1RA INSTANCIA,SENTENCIA FUNDADA,13/04/2026 17:04,ORDINARIO,CUMPLIMIENTO DE ACTUACIONES DISPUESTA POR LEY,Previsional,4,4to Juzgado de Trabajo
